City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,hasaki,35.7333,140.8333,4.22,76,98,4.78,JP,1670613619
151,copiapo,-27.3667,-70.3333,20.83,36,51,5.57,CL,1670613619
152,carnarvon,-24.8667,113.6333,19.57,69,0,8.78,AU,1670613619
153,ambovombe,-25.1667,46.0833,23.74,82,33,8.74,MG,1670613620
154,havoysund,70.9963,24.6622,-0.87,84,71,3.98,NO,1670613620
155,sioux lookout,50.1001,-91.917,-5.96,93,100,2.57,CA,1670613621
156,dudinka,69.4058,86.1778,-29.41,95,17,3.41,RU,1670613621
157,puerto ayora,-0.7393,-90.3518,25.98,87,98,2.68,EC,1670613621
158,ponta do sol,32.6667,-17.1,19.45,81,100,4.09,PT,1670613622
159,saskylakh,71.9167,114.0833,-29.17,97,100,2.38,RU,1670613622
160,clyde river,70.4692,-68.5914,-15.87,78,100,7.2,CA,1670613623
161,chumikan,54.7183,135.315,-21.01,91,14,4.96,RU,1670613623
162,laguna,38.421,-121.4238,11.71,82,75,2.57,US,1670613623
163,muros,42.7762,-9.0603,11.16,80,18,7.48,ES,1670613624
164,grindavik,63.8424,-22.4338,0.26,69,20,6.69,IS,1670613624
165,minab,27.1467,57.0801,24.18,23,31,3.09,IR,1670613625
166,fort nelson,58.8053,-122.7002,-24.23,70,40,0.0,CA,1670613625
167,bom jesus,-9.0744,-44.3586,34.98,27,97,2.53,BR,1670613496
168,eureka,40.8021,-124.1637,8.12,86,100,4.47,US,1670613465
169,chuy,-33.6971,-53.4616,33.61,31,1,4.46,UY,1670613626
170,gazojak,41.1875,61.4036,-5.84,43,0,5.33,TM,1670613626
171,moose factory,51.2585,-80.6094,-18.01,55,0,0.0,CA,1670613627
172,saldanha,-33.0117,17.9442,20.03,87,0,1.22,ZA,1670613627
173,alofi,-19.0595,-169.9187,25.94,94,75,1.54,NU,1670613628
174,basco,20.4487,121.9702,25.67,77,64,10.76,PH,1670613628
175,arraial do cabo,-22.9661,-42.0278,27.98,69,0,8.23,BR,1670613629
176,lahij,13.1667,44.5833,21.57,78,35,2.22,YE,1670613629
177,zaysan,47.4667,84.8667,-13.41,96,100,0.58,KZ,1670613629
178,morondava,-20.2833,44.2833,27.83,83,42,3.91,MG,1670613630
179,canberra,-35.2835,149.1281,7.99,84,75,2.57,AU,1670613468
180,kysyl-syr,63.8986,122.7617,-28.4,98,100,1.88,RU,1670613630
181,rawson,-43.3002,-65.1023,25.01,21,27,9.39,AR,1670613631
182,mizdah,31.4451,12.9801,20.76,35,95,2.84,LY,1670613631
183,jamestown,42.097,-79.2353,2.62,55,0,4.63,US,1670613632
184,babati,-4.2167,35.75,19.07,61,100,1.44,TZ,1670613632
185,kikwit,-5.041,18.8162,20.93,90,57,1.16,CD,1670613633
186,saint-joseph,-21.3667,55.6167,24.21,83,24,5.04,RE,1670613633
187,geraldton,-28.7667,114.6,14.23,82,0,3.6,AU,1670613581
188,bilma,18.6853,12.9164,21.72,16,0,2.59,NE,1670613634
189,sonda,59.3436,26.8364,-9.77,94,51,2.42,EE,1670613634
190,aleksin,54.51,37.08,-2.54,97,100,2.04,RU,1670613635
191,narsaq,60.9167,-46.05,-6.88,73,0,3.17,GL,1670613635
192,lebu,-37.6167,-73.65,18.03,75,100,3.66,CL,1670613636
193,caravelas,-17.7125,-39.2481,27.06,84,18,3.06,BR,1670613636
194,kazachinskoye,57.6953,93.2761,-11.88,91,100,5.25,RU,1670613637
195,san patricio,28.017,-97.5169,28.05,59,48,5.51,US,1670613637
196,peniche,39.3558,-9.3811,15.31,90,6,7.13,PT,1670613637
197,pacific grove,36.6177,-121.9166,12.45,92,100,0.45,US,1670613638
198,college station,30.628,-96.3344,27.1,66,75,2.06,US,1670613602
199,richards bay,-28.783,32.0377,23.6,87,8,4.04,ZA,1670613639
200,ahipara,-35.1667,173.1667,18.42,89,100,3.05,NZ,1670613639
201,port pirie,-33.1833,138.0167,21.13,31,92,2.98,AU,1670613639
202,nampula,-15.1165,39.2666,21.63,91,100,0.76,MZ,1670613640
203,bethel,41.3712,-73.414,8.59,53,0,4.12,US,1670613640
204,kruisfontein,-34.0033,24.7314,21.6,63,100,5.01,ZA,1670613641
205,lodja,-3.4833,23.4333,20.04,92,98,1.04,CD,1670613641
206,tigil,57.8,158.6667,-26.59,94,17,2.18,RU,1670613641
207,bengkulu,-3.8004,102.2655,23.58,89,100,2.55,ID,1670613642
208,burns lake,54.2331,-125.7533,-11.32,83,100,1.78,CA,1670613642
209,luderitz,-26.6481,15.1594,18.11,84,0,7.11,NA,1670613642
210,biak,-0.9131,122.8766,24.18,81,100,0.91,ID,1670613643
211,margate,51.3813,1.3862,2.05,75,28,1.79,GB,1670613643
212,kavieng,-2.5744,150.7967,27.47,77,100,3.93,PG,1670613644
